pig,pig.short,bodyw_start,pen,gender,compartment,bodyw_end,ivog,experiment
900222000946401,401,33,B2.4,gilt,B.4,123,3,4
900222000946404,404,23,C3.4,gilt,C.4,110,6,4
900222000946406,406,24,A3.4,gilt,A.4,98,2,4
900222000946407,407,23,C3.4,gilt,C.4,96,6,4
900222000946409,409,27,A3.4,gilt,A.4,NA,2,4
900222000946412,412,20,C3.4,gilt,C.4,94,6,4
900222000946415,415,22,B2.4,gilt,B.4,91,3,4
900222000946417,417,23,B3.4,barrow,B.4,NA,4,4
900222000946418,418,24,B3.4,barrow,B.4,114,4,4
900222000946419,419,26,C2.4,barrow,C.4,112,5,4
900222000946420,420,28,D2.4,barrow,D.4,111,7,4
900222000946421,421,26,C3.4,gilt,C.4,117,6,4
900222000946422,422,23,D3.4,gilt,D.4,100,8,4
900222000946424,424,27,A3.4,gilt,A.4,NA,2,4
900222000946430,430,28,D2.4,barrow,D.4,107,7,4
900222000946433,433,25,B3.4,barrow,B.4,115,4,4
900222000946434,434,24,C3.4,gilt,C.4,104,6,4
900222000946435,435,23,B2.4,gilt,B.4,98,3,4
900222000946437,437,30,A3.4,gilt,A.4,104,2,4
900222000946439,439,27,D2.4,barrow,D.4,124,7,4
900222000946440,440,26,C2.4,barrow,C.4,108,5,4
900222000946441,441,25,A2.4,barrow,A.4,107,1,4
900222000946442,442,26,C2.4,barrow,C.4,125,5,4
900222000946447,447,32,A2.4,barrow,A.4,120,1,4
900222000946453,453,23,F2.4,gilt,F.4,85,9,4
900222000946455,455,26,B2.4,gilt,B.4,105,3,4
900222000946456,456,29,C2.4,barrow,C.4,120,5,4
900222000946460,460,26,D2.4,barrow,D.4,97,7,4
900222000946463,463,25,D3.4,gilt,D.4,111,8,4
900222000946471,471,27,D3.4,gilt,D.4,106,8,4
900222000946472,472,22,D3.4,gilt,D.4,88,8,4
900222000946473,473,35,D2.4,barrow,D.4,135,7,4
900222000946475,475,23,D3.4,gilt,D.4,97,8,4
900222000946476,476,27,C2.4,barrow,C.4,122,5,4
900222000946477,477,NA,F3.4,barrow,F.4,NA,10,4
900222000946479,479,25,D3.4,gilt,D.4,100,8,4
900222000946480,480,25,B2.4,gilt,B.4,102,3,4
900222000946481,481,23,B3.4,barrow,B.4,110,4,4
900222000946482,482,22,B3.4,barrow,B.4,102,4,4
900222000946485,485,29,A3.4,gilt,A.4,111,2,4
900222000946487,487,23,A2.4,barrow,A.4,NA,1,4
900222000946489,489,33,A3.4,gilt,A.4,123,2,4
900222000946490,490,25,B3.4,barrow,B.4,111,4,4
900222000946491,491,28,D2.4,barrow,D.4,123,7,4
900222000946493,493,35,C2.4,barrow,C.4,125,5,4
900222000946494,494,25,A2.4,barrow,A.4,101,1,4
900222000946497,497,28,C3.4,gilt,C.4,121,6,4
900222000946499,499,27,F2.4,gilt,F.4,118,9,4
900222000946501,501,27,A2.4,barrow,A.4,NA,1,4
900222000946503,503,25,C2.4,barrow,C.4,109,5,4
900222000946505,505,28,A2.4,barrow,A.4,112,1,4
900222000946506,506,24,F3.4,barrow,F.4,115,10,4
900222000946507,507,28,F3.4,barrow,F.4,NA,10,4
900222000946508,508,23,F3.4,barrow,F.4,106,10,4
900222000946509,509,30,C2.4,barrow,C.4,126,5,4
900222000946511,511,28,F2.4,gilt,F.4,103,9,4
900222000946514,514,26,B3.4,barrow,B.4,97,4,4
900222000946516,516,22,C3.4,gilt,C.4,102,6,4
900222000946517,517,23,D2.4,barrow,D.4,108,7,4
900222000946518,518,20,F2.4,gilt,F.4,NA,9,4
900222000946519,519,29,F3.4,barrow,F.4,125,10,4
900222000946520,520,22,C3.4,gilt,C.4,90,6,4
900222000946521,521,26,F2.4,gilt,F.4,95,9,4
900222000946522,522,25,F2.4,gilt,F.4,105,9,4
900222000946523,523,25,B3.4,barrow,B.4,110,4,4
900222000946524,524,29,F2.4,gilt,F.4,106,9,4
900222000946526,526,26,C3.4,gilt,C.4,118,6,4
900222000946528,528,23,A2.4,barrow,A.4,109,1,4
900222000946530,530,22,C2.4,barrow,C.4,107,5,4
900222000946532,532,25,D2.4,barrow,D.4,119,7,4
900222000946535,535,22,F2.4,gilt,F.4,87,9,4
900222000946536,536,33,A3.4,gilt,A.4,110,2,4
900222000946537,537,27,A3.4,gilt,A.4,107,2,4
900222000946539,539,25,B2.4,gilt,B.4,110,3,4
900222000946540,540,21,D3.4,gilt,D.4,106,8,4
900222000946541,541,22,A3.4,gilt,A.4,95,2,4
900222000946546,546,24,C3.4,gilt,C.4,115,6,4
900222000946549,549,30,D2.4,barrow,D.4,113,7,4
900222000946550,550,32,D2.4,barrow,D.4,112,7,4
900222000946552,552,25,B2.4,gilt,B.4,114,3,4
900222000946554,554,23,D3.4,gilt,D.4,109,8,4
900222000946556,556,29,B2.4,gilt,B.4,119,3,4
900222000946558,558,24,B2.4,gilt,B.4,91,3,4
900222000946559,559,23,A2.4,barrow,A.4,108,1,4
900222000946560,560,34,C2.4,barrow,C.4,120,5,4
900222000946561,561,26,D3.4,gilt,D.4,108,8,4
900222000946562,562,25,A2.4,barrow,A.4,108,1,4
900222000946563,563,25,B2.4,gilt,B.4,104,3,4
900222000946564,564,30,A3.4,gilt,A.4,NA,2,4
900222000946568,568,24,A2.4,barrow,A.4,111,1,4
900222000946569,569,27,C2.4,barrow,C.4,116,5,4
900222000946570,570,26,A3.4,gilt,A.4,97,2,4
900222000946573,573,25,B2.4,gilt,B.4,110,3,4
900222000946574,574,27,F3.4,barrow,F.4,116,10,4
900222000946576,576,25,F2.4,gilt,F.4,109,9,4
900222000946577,577,23,A2.4,barrow,A.4,124,1,4
900222000946578,578,23,F2.4,gilt,F.4,98,9,4
900222000946580,580,24,C3.4,gilt,C.4,96,6,4
900222000946583,583,22,F2.4,gilt,F.4,100,9,4
900222000946585,585,36,F3.4,barrow,F.4,121,10,4
900222000946586,586,28,B3.4,barrow,B.4,115,4,4
900222000946588,588,28,F3.4,barrow,F.4,118,10,4
900222000946589,589,26,D3.4,gilt,D.4,115,8,4
900222000946590,590,24,D2.4,barrow,D.4,106,7,4
900222000946593,593,26,F3.4,barrow,F.4,111,10,4
900222000946595,595,25,F3.4,barrow,F.4,107,10,4
900222000946596,596,24,B3.4,barrow,B.4,93,4,4
900222000946597,597,25,B3.4,barrow,B.4,105,4,4
900222000946598,598,22,D3.4,gilt,D.4,106,8,4
900222000946600,600,29,F3.4,barrow,F.4,125,10,4
